AGS;GEN;2017;2016;2015
5111;    Düsseldorf, krfr. Stadt;2839;2821;2816
5112;    Duisburg, krfr. Stadt;2140;2147;2110
5113;    Essen, krfr. Stadt;2774;2772;2770
5114;    Krefeld, krfr. Stadt;1646;1646;1634
5116;    Mönchengladbach, krfr. Stadt;1538;1531;1525
5117;    Mülheim an der Ruhr, krfr. Stadt;1876;1873;1855
5119;    Oberhausen, krfr. Stadt;2743;2742;2736
5120;    Remscheid, krfr. Stadt;1484;1484;1469
5122;    Solingen, krfr. Stadt;1774;1775;1773
5124;    Wuppertal, krfr. Stadt;2100;2093;2079
5154;    Kleve, Kreis;253;252;252
5158;    Mettmann, Kreis;1192;1190;1187
5162;    Rhein-Kreis Neuss;780;776;781
5166;    Viersen, Kreis;530;530;528
5170;    Wesel, Kreis;442;443;444
53;  Köln, Regierungsbezirk;605;603;601
5313;    Aachen, krfr. Stadt;-;-;-
5314;    Bonn, krfr. Stadt;2308;2284;2260
5315;    Köln, krfr. Stadt;2668;2657;2619
5316;    Leverkusen, krfr. Stadt;2074;2068;2073
5334;    Städteregion Aachen (einschl. Stadt Aachen);784;782;784
5354;    Aachen, Kreis;-;-;-
5358;    Düren, Kreis;279;278;279
5362;    Rhein-Erft-Kreis;663;661;662
5366;    Euskirchen, Kreis;154;153;153
5370;    Heinsberg, Kreis;403;402;402
5374;    Oberbergischer Kreis;297;297;298
5378;    Rheinisch-Bergischer Kreis;648;648;647
5382;    Rhein-Sieg-Kreis;520;518;517
55;  Münster, Regierungsbezirk;379;379;378
5512;    Bottrop, krfr. Stadt;1167;1167;1164
5513;    Gelsenkirchen, krfr. Stadt;2481;2502;2481
5515;    Münster, krfr. Stadt;1034;1028;1022
5554;    Borken, Kreis;260;260;260
5558;    Coesfeld, Kreis;197;197;196
5562;    Recklinghausen, Kreis;810;811;812
5566;    Steinfurt, Kreis;249;248;247
5570;    Warendorf, Kreis;210;211;210
57;  Detmold, Regierungsbezirk;315;315;315
5711;    Bielefeld, krfr. Stadt;1285;1288;1287
5754;    Gütersloh, Kreis;375;373;372
5758;    Herford, Kreis;559;557;560
5762;    Höxter, Kreis;118;118;120
5766;    Lippe, Kreis;280;280;282
5770;    Minden-Lübbecke, Kreis;270;271;272
5774;    Paderborn, Kreis;245;245;244
59;  Arnsberg, Regierungsbezirk;447;448;449
5911;    Bochum, krfr. Stadt;2510;2505;2504
5913;    Dortmund, krfr. Stadt;2090;2087;2088
5914;    Hagen, krfr. Stadt;1170;1173;1178
5915;    Hamm, krfr. Stadt;791;793;792
5916;    Herne, krfr. Stadt;3043;3049;3031
5954;    Ennepe-Ruhr-Kreis;793;794;796
5958;    Hochsauerlandkreis;134;134;135
5962;    Märkischer Kreis;390;391;392
5966;    Olpe, Kreis;189;190;192
5970;    Siegen-Wittgenstein, Kreis;245;245;248
5974;    Soest, Kreis;227;227;228
5978;    Unna, Kreis;725;725;729
