Verwaltungsbezirk_Nr.;Name;Wahlberechtigte_insgesamt;Wähler/-innen;Wahlbeteiligung;Ungültige_Stimmen;Gültige_Stimmen;CDU;SPD;GRÜNE;AfD;DIE_LINKE;FDP;PIRATEN;Tierschutzpartei;NPD;Die_PARTEI;FAMILIE;FREIE_WÄHLER;Volksabstimmung;ÖDP;DKP;MLPD;BP;SGP;TIERSCHUTZ_hier!;Tierschutzallianz;Bündnis_C;BIG;BGE;DIE_DIREKTE!;DiEM25;III._Weg;Die_Grauen;DIE_RECHTE;DIE_VIOLETTEN;LIEBE;DIE_FRAUEN;Graue_Panther;LKR;MENSCHLICHE_WELT;NL;ÖkoLinX;Die_Humanisten;PARTEI_FÜR_DIE_TIERE;Gesundheitsforschung;Volt;
50;Nordrhein-Westfalen;13149577;8069019;61,36;0,75;99,25;27,73;19,04;22,98;8,46;4,19;6,63;0,7;1,52;0,15;2,32;0,66;0,63;0,14;0,48;0,04;0,05;0,06;0,01;0,23;0,13;0,14;0,36;0,07;0,05;0,28;0,02;0,19;0,06;0,08;0,08;0,11;0,21;0,09;0,07;0,05;0,07;0,17;0,2;0,13;0,69;99,27
5111;Kreisfreie_Stadt_Düsseldorf;414530;263153;63,48;0,54;99,46;24,54;15,15;29,03;6,87;4,78;8,43;0,65;1,22;0,1;2,94;0,42;0,52;0,1;0,43;0,05;0,06;0,06;0,01;0,22;0,12;0,07;0,4;0,08;0,06;0,51;0,01;0,16;0,03;0,07;0,09;0,1;0,22;0,13;0,07;0,07;0,08;0,2;0,15;0,11;1,15;99,46
5112;Kreisfreie_Stadt_Duisburg;325373;162888;50,06;0,95;99,05;19,71;24,29;19,36;11,88;5,72;5,19;0,75;1,81;0,28;3,01;0,75;0,61;0,18;0,36;0,06;0,19;0,06;0,03;0,32;0,16;0,1;1,36;0,07;0,05;0,26;0,02;0,26;0,12;0,09;0,08;0,13;0,29;0,06;0,07;0,05;0,08;0,17;0,25;0,18;0,64;99,05
5113;Kreisfreie_Stadt_Essen;416106;246269;59,18;0,76;99,24;23,24;20,78;22,6;10,68;4,59;6,39;0,66;1,82;0,17;2,75;0,61;0,54;0,12;0,41;0,1;0,11;0,06;0,01;0,26;0,15;0,11;0,52;0,08;0,06;0,29;0,01;0,22;0,05;0,08;0,08;0,12;0,22;0,09;0,09;0,06;0,07;0,17;0,15;0,11;0,61;99,24
5114;Kreisfreie_Stadt_Krefeld;162065;93883;57,93;0,83;99,17;26,54;18,13;24,29;7,72;4,67;7,5;0,74;1,6;0,16;2,45;0,62;0,49;0,13;0,4;0,05;0,07;0,05;0,01;0,23;0,13;0,07;0,5;0,12;0,07;0,34;0,01;0,18;0,04;0,08;0,08;0,1;0,18;0,09;0,07;0,04;0,08;0,16;0,23;0,14;0,63;99,19
5116;Kreisfreie_Stadt_Mönchengladbach;188522;103352;54,82;0,95;99,05;29,61;15,93;22,5;8,58;4,37;6,98;0,78;1,83;0,22;2,6;0,64;0,66;0,15;0,42;0,04;0,04;0,06;0,01;0,25;0,17;0,05;0,6;0,08;0,07;0,24;0,02;0,21;0,04;0,09;0,08;0,1;0,23;0,06;0,07;0,05;0,07;0,19;0,25;0,14;0,56;99,04
5117;Kreisfreie_Stadt_Mülheim_an_der_Ruhr;123207;77168;62,63;0,74;99,26;23,71;21,03;22,8;9,58;4,2;7,56;0,68;1,72;0,14;2,44;0,66;0,6;0,11;0,39;0,05;0,09;0,06;0,01;0,26;0,14;0,09;0,37;0,07;0,04;0,25;0,02;0,19;0,05;0,13;0,07;0,11;0,25;0,11;0,05;0,06;0,07;0,16;0,22;0,13;0,57;99,24
5119;Kreisfreie_Stadt_Oberhausen;150624;82902;55,04;1,03;98,97;21,82;24,63;18,5;12,07;4,96;5,23;0,89;2,11;0,28;2,66;0,79;0,55;0,15;0,36;0,03;0,08;0,06;0,01;0,27;0,14;0,06;0,49;0,06;0,06;0,23;0,01;0,25;0,07;0,24;0,1;0,16;0,29;0,06;0,05;0,05;0,05;0,14;0,29;0,17;0,52;98,94
5120;Kreisfreie_Stadt_Remscheid;77129;43470;56,36;1,05;98,95;26,99;19,07;21,22;9,79;4,39;6,74;0,79;1,72;0,14;2,35;0,63;0,56;0,2;0,52;0,07;0,03;0,05;0,01;0,23;0,15;0,14;0,81;0,09;0,05;0,15;0,02;0,22;0,09;0,09;0,09;0,13;0,21;0,09;0,1;0,04;0,03;0,16;0,23;0,12;0,43;98,94
5122;Kreisfreie_Stadt_Solingen;112713;64681;57,39;0,77;99,23;25,52;17,49;24,54;9,07;4,78;7,15;0,81;1,69;0,12;2,39;0,65;0,59;0,13;0,5;0,04;0,08;0,04;0,02;0,29;0,12;0,09;0,71;0,06;0,06;0,22;0,01;0,17;0,06;0,11;0,09;0,09;0,2;0,08;0,06;0,03;0,05;0,21;0,23;0,1;0,58;99,23
5124;Kreisfreie_Stadt_Wuppertal;238998;140535;58,8;0,75;99,25;22,15;18,46;25,2;9,7;6,09;6,2;0,73;1,77;0,19;2,98;0,55;0,57;0,13;0,46;0,06;0,08;0,06;0,01;0,26;0,15;0,13;0,5;0,08;0,07;0,41;0,01;0,19;0,08;0,07;0,09;0,13;0,19;0,08;0,07;0,05;0,08;0,21;0,21;0,14;0,61;99,2
5154;Kreis_Kleve;227070;136898;60,29;0,82;99,18;35,61;16,9;21,54;6,35;3,21;7,04;0,59;1,48;0,13;1,69;0,68;0,53;0,13;0,45;0,02;0,02;0,05;0,01;0,21;0,12;0,06;0,03;0,06;0,05;0,15;0,01;0,19;0,05;0,07;0,09;0,12;0,17;0,07;0,06;0,05;0,05;0,15;0,21;0,12;0,64;99,16
5158;Kreis_Mettmann;367255;234389;63,82;0,77;99,23;28,63;17,21;23,1;8,79;3,5;7,89;0,76;1,67;0,14;1,97;0,68;0,61;0,15;0,45;0,03;0,04;0,07;0,01;0,28;0,14;0,11;0,38;0,06;0,06;0,25;0,01;0,22;0,06;0,09;0,07;0,13;0,26;0,11;0,07;0,05;0,05;0,14;0,21;0,12;0,62;99,19
